2021-06-30 12:06:529 INFO  BasePage :29 - Launching Chrome Browser 
2021-06-30 12:06:02 INFO  HomePage :48 - Mouse hover on computer tab element [[ChromeDriver: chrome on WINDOWS (91b504ea0b87e56709f0a72e52d6d539)] -> xpath: (//a[@href='/computers'])[1]]
2021-06-30 12:06:44 INFO  HomePage :54 - Getting text from computer sub product element [[ChromeDriver: chrome on WINDOWS (91b504ea0b87e56709f0a72e52d6d539)] -> xpath: (//ul[@class='sublist first-level'])[1]//li]
2021-06-30 12:06:279 INFO  HomePage :58 - Clicking computer sub menu product element [[ChromeDriver: chrome on WINDOWS (91b504ea0b87e56709f0a72e52d6d539)] -> xpath: (//ul[@class='sublist first-level'])[1]//li]
2021-06-30 12:06:627 INFO  DesktopsPage :48 - Click on add to cart button [[ChromeDriver: chrome on WINDOWS (91b504ea0b87e56709f0a72e52d6d539)] -> xpath: (//button[@class='button-2 product-box-add-to-cart-button'])[1]]
2021-06-30 12:06:22 INFO  BuildYourOwnComputerPage :42 - Getting build computer text[[ChromeDriver: chrome on WINDOWS (91b504ea0b87e56709f0a72e52d6d539)] -> xpath: //h1[contains(text(),'Build your own computer')]]
2021-06-30 12:06:201 INFO  BuildYourOwnComputerPage :48 - Select processor option [[ChromeDriver: chrome on WINDOWS (91b504ea0b87e56709f0a72e52d6d539)] -> xpath: //dd[@id='product_attribute_input_1']/select[@id='product_attribute_1']]
2021-06-30 12:06:347 INFO  BuildYourOwnComputerPage :53 - Select RAM option [[ChromeDriver: chrome on WINDOWS (91b504ea0b87e56709f0a72e52d6d539)] -> xpath: //dd[@id='product_attribute_input_2']/select[@id='product_attribute_2']]
2021-06-30 12:06:437 INFO  BuildYourOwnComputerPage :58 - Click on radio button [[ChromeDriver: chrome on WINDOWS (91b504ea0b87e56709f0a72e52d6d539)] -> xpath: //ul[@class='option-list']/li[@data-attr-value='7']/input[@id='product_attribute_3_7']]
2021-06-30 12:06:526 INFO  BuildYourOwnComputerPage :63 - Click on radio button [[ChromeDriver: chrome on WINDOWS (91b504ea0b87e56709f0a72e52d6d539)] -> xpath: //li[@data-attr-value='9']/input[@id='product_attribute_4_9']]
2021-06-30 12:06:554 INFO  BuildYourOwnComputerPage :72 - Getting total price from element [[ChromeDriver: chrome on WINDOWS (91b504ea0b87e56709f0a72e52d6d539)] -> xpath: //div[@class='product-price']/span[@id='price-value-1']]
2021-06-30 12:06:674 INFO  BuildYourOwnComputerPage :78 - Click on add to cart button [[ChromeDriver: chrome on WINDOWS (91b504ea0b87e56709f0a72e52d6d539)] -> xpath: //div[@class='add-to-cart-panel']/button[@id='add-to-cart-button-1']]
2021-06-30 12:06:699 INFO  BuildYourOwnComputerPage :82 - Getting green bar message [[ChromeDriver: chrome on WINDOWS (91b504ea0b87e56709f0a72e52d6d539)] -> xpath: //body/div[@id='bar-notification']/div[1]/p[1]]
2021-06-30 18:06:988 INFO  BasePage :29 - Launching Chrome Browser 
2021-06-30 18:06:887 INFO  HomePage :48 - Mouse hover on computer tab element [[ChromeDriver: chrome on WINDOWS (0fbde98220d9023c0b5bfbc3a0f2c40b)] -> xpath: (//a[@href='/computers'])[1]]
2021-06-30 18:06:940 INFO  HomePage :54 - Getting text from computer sub product element [[ChromeDriver: chrome on WINDOWS (0fbde98220d9023c0b5bfbc3a0f2c40b)] -> xpath: (//ul[@class='sublist first-level'])[1]//li]
2021-06-30 18:06:250 INFO  HomePage :58 - Clicking computer sub menu product element [[ChromeDriver: chrome on WINDOWS (0fbde98220d9023c0b5bfbc3a0f2c40b)] -> xpath: (//ul[@class='sublist first-level'])[1]//li]
2021-06-30 18:06:623 INFO  BasePage :29 - Launching Chrome Browser 
2021-06-30 18:06:704 INFO  HomePage :48 - Mouse hover on computer tab element [[ChromeDriver: chrome on WINDOWS (c13ab4cb3b6d68f677a0e7de12e5ab48)] -> xpath: (//a[@href='/computers'])[1]]
2021-06-30 18:06:748 INFO  HomePage :54 - Getting text from computer sub product element [[ChromeDriver: chrome on WINDOWS (c13ab4cb3b6d68f677a0e7de12e5ab48)] -> xpath: (//ul[@class='sublist first-level'])[1]//li]
2021-06-30 18:06:477 INFO  HomePage :58 - Clicking computer sub menu product element [[ChromeDriver: chrome on WINDOWS (c13ab4cb3b6d68f677a0e7de12e5ab48)] -> xpath: (//ul[@class='sublist first-level'])[1]//li]
2021-06-30 18:06:856 INFO  DesktopsPage :48 - Click on add to cart button [[ChromeDriver: chrome on WINDOWS (c13ab4cb3b6d68f677a0e7de12e5ab48)] -> xpath: (//button[@class='button-2 product-box-add-to-cart-button'])[1]]
